Paper title,Abstract summary,Authors,Journal,Influential citations,Scimago Journal Rank,DOI,PDF,Year,Citations,DOI URL,Semantic Scholar URL,Abstract,Takeaway suggests yes/no,Study type,Number of participants,Intervention,Outcomes measured
The prevalence of thalassemia in mainland China: evidence from epidemiological surveys,The geographic distribution of thalassemia was highest in the south of China.,"Ketong  Lai, Guifeng  Huang, Li  Su, Yunyan  He",Scientific Reports,,1.005 (4084),10.1038/s41598-017-00967-2,https://www.nature.com/articles/s41598-017-00967-2.pdf,2017,89,https://doi.org/10.1038/s41598-017-00967-2,https://semanticscholar.org/paper/a7aa5faa975cab2d39f28ab1d2e64b40502c0fec,"Comprehensive data regarding the epidemiology and prevalence of thalassemia in mainland China are lacking. To assess the prevalence of thalassemia, we performed a meta-analysis including 16 articles published from 1981 to 2015. The overall prevalence of α-thalassemia, β-thalassemia and α + β-thalassemia was 7.88%, 2.21% and 0.48%, respectively. Trends in thalassemia prevalence in mainland China were not steady; a prevalence map based on a geographic information system (GIS) showed that the geographic distribution of thalassemia was highest in the south of China and decreased from south to north. Additionally, the most common α- and β-globin gene mutation was --SEA and CD41/42, respectively. The current study provides valuable information regarding epidemiology and intervention and supports the planning, implementation and management of prevention programmes for public health.",,Meta-Analysis,,,"• α thalassemia, β thalassemia and α + β thalassemia prevalence in mainland China"
Thalassemia and hemoglobinopathies in an ethnic minority group in Central Vietnam: implications to health burden and relationship between two ethnic minority groups,Thalassemia genes are found among some ethnic minority groups in Vietnam.,"Nga Thi  Nguyen, Kanokwan  Sanchaisuriya, Pattara  Sanchaisuriya, Hoa  Van Nguyen, Hoa Thi Thuy  Phan, Goonnapa  Fucharoen, Supan  Fucharoen",Journal of Community Genetics,,0.635 (7729),10.1007/s12687-017-0306-8,https://europepmc.org/articles/pmc5496844?pdf=render,2017,6,https://doi.org/10.1007/s12687-017-0306-8,https://semanticscholar.org/paper/acd0eb345216ed9ce8919596cd2347ce58ba94f1,"Thalassemia is a genetic condition that can result in long and expensive treatments, and severe thalassemia may lead to death if left untreated. Couples contributing two genes for thalassemia place their children at particular risk for severe thalassemia. Gene frequency of thalassemia varies in Vietnam, but presents remarkably high levels among some ethnic minority groups. Limited information about thalassemia frequency makes prevention and control of thalassemia difficult. This study aimed to determine gene frequency of certain types of thalassemia among 390 women of reproductive age of the Ta-Oi ethnic minority. Hemoglobin and DNA analyses were carried out to diagnose thalassemia and hemoglobinopathies. Of the total participants, 56.1% (95% CI = 51.1–61.1) carried thalassemia genes. A remarkably high frequency of hemoglobin Constant Spring (Hb CS) of 23.8% (95% CI = 19.7–28.4) was noted. The frequency of α+-thalassemia (−3.7 kb deletion) was 26.4% (95% CI = 22.1–31.1), while hemoglobin E (Hb E) and hemoglobin Paksé (Hb Ps) were identified at frequencies of 14.6 (95% CI = 11.2–18.5) and 2.6% (95% CI = 1.4–5.0), respectively. Further analysis of α-globin gene haplotype revealed the same Hb CS haplotype (+ − M + + −) as of the Co-Tu minority, a neighboring minority of the Ta-Oi, indicating that these two minorities may share the same ancestors. This information will be helpful for further studies in population genetics, as well as the development prevention and control program in the region.",,,390,,"• gene frequency of thalassemia among 390 women of reproductive age of the Ta Oi ethnic minority
• the frequency of hemoglobin Constant Spring (Hb CS) of 23.8% (95% CI = 19.7–28.4)
• the frequency of α+ thalassemia (−3.7 kb deletion) of 26.4% (95% CI = 22.1–31.1)
• the frequency of hemoglobin E (Hb E) of 14.6 (95% CI = 11.2–18.5) 
• the frequency of hemoglobin Paksé (Hb Ps) of 2.6% (95% CI = 1.4–5.0)"
Comparison of gene mutation spectrum of thalassemia in different regions of China and Southeast Asia,Thalassemia was thought to exist only in southern China.,"Zhuo Yang, Q. Cui, Wenzhe Zhou, L. Qiu, B. Han",Molecular Genetics & Genomic Medicine,,,10.1002/mgg3.680,https://europepmc.org/articles/pmc6565565?pdf=render,2019,14,https://doi.org/10.1002/mgg3.680,https://semanticscholar.org/paper/feb5691f09cc1521d248384531487cb078d03c29,"Thalassemia is a common genetic disorder. High prevalence of thalassemia is found in South China, Southeast Asia, India, the Middle East, and the Mediterranean regions. Thalassemia was thought to exist only in southern China, but an increasing number of cases from northern China have been recently reported.",,,"1,059",,
Thalassemia and Hemoglobinopathies in an Ethnic Minority Group in Northern Vietnam,"The prevalence of thalassemia in 289 Tay women was 15.6% (gene frequency 0.078) for 0-thal, 10.0% (gene frequency 0.050) for +-thal, 7.3% (gene frequency 0.036) for -thal, 2.4% (gene frequency 0.012) for Hb Constant Spring, and 1.7% (gene frequency 0.00","Tuan Mai Anh, K. Sanchaisuriya, Giang Nguyen Kieu, Dung Nguyen Tien, H. Thu, P. Sanchaisuriya, S. Fucharoen, G. Fucharoen, F. Schelp",Hemoglobin,,0.261 (16061),10.1080/03630269.2019.1669636,,2019,6,https://doi.org/10.1080/03630269.2019.1669636,https://semanticscholar.org/paper/9c3b4a3fdcb655b613ec2b26a8f5884b999f8dbf,"Abstract This study assessed thalassemia and hemoglobinopathies in a group of the Tay ethnic minority. Participants included 289 women of reproductive-age who enrolled in a pilot screening program for thalassemia conducted at six communities of Thai Nguyen Province, northern Vietnam. Standard procedures including complete blood count (CBC), hemoglobin (Hb) and DNA analyses were performed for all samples. The prevalence of thalassemia in 289 Tay women was 15.6% (gene frequency 0.078) for α0-thalassemia (α0-thal), 10.0% (gene frequency 0.050) for α+-thal, 7.3% (gene frequency 0.036) for β-thalassemia (β-thal), 2.4% (gene frequency 0.012) for Hb Constant Spring [Hb CS; α142, Term→Gln, TAA>CAA (α2), HBA2: c.427T>C] and 1.7% (gene frequency 0.009) for Hb E [β26(B8)Glu→Lys, GAG>AAG; HBB: c.79G>A]. Further analysis of β-globin gene abnormalities identified four mutations including codons 41/42 (–TCTT) (HBB: c.126_129delCTTT), codon 17 (A>T) (HBB: c.52A>T), codons 71/72 (+A) (HBB: c.216_217insA), and –28 (A>G) (HBB: c.78A>G). The results hint at the remarkably high frequencies of severe forms of thalassemia that indicate a serious public health problem requiring further exploration, and most probably, also intervention within the country.",,,289,,"• prevalence of thalassemia in 289 Tay women
• the gene frequency of α0-thalassemia, α+ thalassemia, β thalassemia, Hb Constant Spring, and Hb E
• the mutation rate of β globin gene abnormalities including codons 41/42, codon 17, codons 71/72, and –28"
[Research Progress on Thalassemia in Southern China -Review].,Thalassemia is prevalent and variable in southern China.,"Yang Yang, Jie Zhang",Zhongguo shi yan xue ye xue za zhi,,,10.7534/j.issn.1009-2137.2017.01.050,,2017,6,https://doi.org/10.7534/j.issn.1009-2137.2017.01.050,https://semanticscholar.org/paper/457b5233c160136e61424e4f333f53075a316bff,"Thalassemia is a single-gene disorder resulting from globin chain synthesis impairment because of the mutation or deletion of globin gene, such as α- and β-thalassemia. Thalassemia occurs with high frequencies in tropical and subtropical regions, primarily in Southeast Asian, Middle Eastern, African and Mediterranean populations. It has been reported that thalassemia is prevalent and variable in southern China, including Guangdong, Guangxi, Guizhou, Yunnan and so on. The spectra of globin gene mutations are diverse and characterized by ethnicity and region in southern China. Analysis of the thalassemia gene mutation types is beneficial to develop the measures to prevention and control the thalassemia. The molecular mechemisms and epidemiology of thalassemia as well as spectra of thalassemia gene mutations in southern China are reviewed.",,Review,,,
Molecular prevalence of thalassemia and hemoglobinopathies among the Lao Loum Group in the Lao People’s Democratic Republic,Thalassemias and hemoglobinopathies are the most prevalent inherited anemias detected in South East Asians.,"Sayphonh Phanmany, S. Chanprasert, T. Munkongdee, S. Svasti, Kamonlak Leecharoenkiat",International Journal of Laboratory Hematology,,0.678 (7152),10.1111/ijlh.13080,,2019,9,https://doi.org/10.1111/ijlh.13080,https://semanticscholar.org/paper/aff6b40675364485a092119ad2f3c1491949a6c9,"Thalassemias and hemoglobinopathies are the most prevalent inherited anemias detected in South East Asians. These disorders represent not only a clinical health problem but also a socioeconomic problem for this region. Regarding the prevention and control of thalassemias and hemoglobinopathies in the Lao PDR, screening and diagnostic strategies should be strongly considered. The knowledge about the prevalence and molecular genotyping of thalassemias and hemoglobinopathies among the Lao Loum group, which includes the majority of Lao people, is now limited, making the prevention and control of thalassemias difficult.",,,,,
Review of disease-related complications and management in adult patients with thalassemia: A multi-center study in Thailand,Splenectomy and advanced age were important risk factors for developing major complications in both groups of patients.,"S. Chuncharunee, N. Teawtrakul, N. Siritanaratkul, Nonlawan Chueamuangphan",PloS one,,0.852 (5222),10.1371/journal.pone.0214148,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0214148&type=printable,2019,17,https://doi.org/10.1371/journal.pone.0214148,https://semanticscholar.org/paper/b77c2a3b6bbe86ae25beeaf6471c9137af599b81,"Disease-related complications and management are different among patients with thalassemia. This study was aimed to review the prevalence, clinical risk factors for the complications and the management in patients with thalassemia in Thailand. A multicenter cross-sectional study was conducted in patients with thalassemia aged ≥ 18 years old. Thalassemia-related complications and management were reviewed. The clinical parameters significantly associated with the complications were analyzed by logistic regression methods. The prevalence of thalassemia-related complications was 100% in patients with transfusion-dependent thalassemia (TDT) and 58.8% in patients with non-transfusion-dependent thalassemia (NTDT). Advanced age was statistically associated with extramedullary hematopoiesis in both TDT and NTDT patients. Splenectomy was a significant risk factor for pulmonary hypertension in both groups of patients. Severe iron overload started earlier in patients with TDT than NTDT and was associated with diabetes mellitus (adjusted odds ratio (AOR) = 6.2, p-value = 0.02). Disease-related complications are more prevalent in patients with TDT than patients with NTDT. Splenectomy and advanced age were important risk factors for developing major complications in both groups. Early screening and management for specific disease-related complications should be considered in patients with thalassemia according to their clinical risk factors.",,Review,433,,"• thalassemia related complications
• clinical risk factors for complications
• management of complications"
Epidemiology of thalassemia among the hill tribe population in Thailand.,Effective and available thalassemia screening tests are crucial among hill tribe populations in Thailand.,"T. Apidechkul, Fartima Yeemard, Chalitar Chomchoei, Panupong Upala, Ratipark Tamornpark",PLoS ONE,,0.852 (5222),10.1371/journal.pone.0246736,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0246736&type=printable,2021,4,https://doi.org/10.1371/journal.pone.0246736,https://semanticscholar.org/paper/94760b86b838cc310cc5c6914351d1c90e3b83cd,"BACKGROUND

Thalassemia is a severe disease that occurs due to abnormalities in hemoglobin genes. Various genetic factors in different populations lead to different clinical manifestations of thalassemia disease, particularly among people who have a long history of migration and who have married among tribes, such as the hill tribe people in Thailand. This genetic epidemiological study aimed to estimate the prevalence of various forms of thalassemia among the six main hill tribe populations in Thailand.

METHODS

A cross-sectional study was conducted to obtain information and blood specimens from school children belonging to one of the six main hill tribes in Thailand: Akha, Lau, Hmong, Yao, Karen, and Lisu. Hill tribe children who were attending grades 4-6 in 13 selected schools in Chiang Rai Province, Thailand, were invited to participate in the study. A validated questionnaire and 3 mL blood specimens were collected after obtaining information consent forms from both the children and their parents on a voluntary basis. A complete blood count (CBC) was performed, followed by osmotic fragility (OF) and dichlorophenol indophenol precipitation (DCIP) tests to screen for thalassemia. High-performance liquid chromatography (HPLC) and real-time quantitative polymerase chain reaction (qPCR) were used to identify hemoglobin type and α-thalassemia, respectively. A t-test, chi-square and logistic regression were used to detect the associations between variables at the significance level of α = 0.05.

RESULTS

A total of 1,200 participants from 6 different tribes were recruited for the study; 50.0% were males, and 67.3% were aged 11-12 years. The overall prevalence of thalassemia carriers according to the screening tests was 9.8% (117 of 1,200). Among the cases, 83 were A2A (59 cases were α-thalassemia 1 carrier or α-thalassemia 2 carrier or homozygous α-thalassemia 2, and 24 cases were β-thalassemia trait with or without α-thalassemia); 1 case was EE (homozygous Hb E with or without α-thalassemia); 31 cases were EA (30 cases were the Hb E trait, and 1 case was Hb E trait with or without α-thalassemia); 1 case was A2A Bart's H (Hb H disease α-thalassemia 1/α-thalassemia 2); and 1 case was A2A with abnormal Hb. The prevalence of the α-thalassemia 1 trait among the hill tribe population was 2.5%. The greatest prevalence of the α-thalassemia 1 trait was found in the Karen (3.0%) and Hmong (3.0%) tribes.

CONCLUSIONS

The prevalence of some forms of thalassemia in the hill tribe population is higher than that in the Thai and other populations. Effective and available thalassemia screening tests, including essential information to protect the next generation through the specific counseling clinic, are crucial, particularly due to increasing marriages within these populations.",,,"1,200",,• prevalence of thalassemia carriers according to the screening tests
Awareness about thalassemia in post graduate students,Alpha and beta thalassaemia are highly prevalent in those regions infected with Plasmodium falciparum.,"M. Qadir, M. Rizvi",,,,10.15406/MOJI.2018.06.00214,,2018,113,https://doi.org/10.15406/MOJI.2018.06.00214,https://semanticscholar.org/paper/bc4feca832a4f5ff36c54635be6f0d4483a6b932,"Inherited hemoglobinopathies are basically thalassemia syndromes that occur due to decreased or absent formation of normal hemoglobin. Abnormal globin gene in thalassemia describes its type. Patients who have defective alpha globin genes suffer from alpha thalassemia and patients who have defective beta globin genes suffer from beta thalassemia. There are clinical presentations which varied widely in thalassemia patients, the severity range from asymptomatic to severe anemia in which blood transfusions are needed for lifetime and in multiple organ system many complications occur.1 Alpha thalassemia has been prevailed in India, Africa and South East Africa. Beta thalassaemia has been spread in many areas of Middle East, Mediterranean, in Southern China, in South, Central and South East Asia. The carriers of alpha thalassemia are 5% and of beta thalassemia is 1.5% all over the world. Genotypes of alpha and beta thalassaemia are highly prevalent in those regions which are infected with Plasmodium falciparum. This leads to a theory that evolutionary protection mechanism is represented by thalassemia gene mutation. The populations which are at risk to thalassemia are migrating towards non-endemic areas and increasing the rate of thalassemia gene mutations all over the world.2",,,,,
"Molecular epidemiological and hematological profile of thalassemia in the Dongguan Region of Guangdong Province, Southern China",Thalassemia is a common inherited hematological disease in tropical and subtropical regions.,"Q. Peng, Zhenhong Zhang, Siping Li, Chuyun Cheng, Wenrui Li, Chunbao Rao, Baimao Zhong, Xiaomei Lu",Journal of clinical laboratory analysis (Print),,,10.1002/jcla.23596,,2020,10,https://doi.org/10.1002/jcla.23596,https://semanticscholar.org/paper/b84495bd3d2006caba430f34077c02e081ff6406,Thalassemia is a common inherited hematological disease in tropical and subtropical regions. This study aimed to investigate the mutation spectrum of thalassemia in the Dongguan region of southern China and comprehensively analyze hematologic features of thalassemia carriers with various types of globin mutations.,,,,,"• mutation spectrum of thalassemia
• hematologic features of thalassemia carriers"
